SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Material,Benefits/Uses,Categories,OD,ID,Length,Fits Injector Port,Fits GC Model,Volume (μL),Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s)
392611944,392611944,37-000813-00,,,,,,,,,37-000813-00,"Heated Flash Vapor GC Inlet Liner w/Glass Wool, 1060/1061","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.3 mm,2 mm,72 mm,Varian 1060/1061,Varian/Bruker,250,5,$150.00,"392611944_sm.jpg, 392611944.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.3 mm,ID,2 mm,Length,72 mm,Fits Injector Port,Varian 1060/1061,Fits GC Model,Varian/Bruker,Volume (μL),250,Qty/pk,5,Similar to,37-000813-00
392611944-25,392611944-25,,,,,,,,,,,"Heated Flash Vapor GC Inlet Liner w/Glass Wool, 1060/1061","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.3 mm,2 mm,72 mm,Varian 1060/1061,Varian/Bruker,250,25,$725.00,"392611944_sm.jpg, 392611944.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.3 mm,ID,2 mm,Length,72 mm,Fits Injector Port,Varian 1060/1061,Fits GC Model,Varian/Bruker,Volume (μL),250,Qty/pk,25,Similar to,
392611945,392611945,03-918464-00,,"8004-0160, 8004-0108",,"20859, 20901, 20909",,,,,"03-918464-00, 8004-0160, 8004-0108, 20859, 20901, 20909","Open 3.4mm ID GC Inlet Liner, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,Active samples,GC Inlet Liners,5 mm,3.4 mm,54 mm,Varian 1078/1079,Varian/Bruker,500,5,$115.00,"392611945_sm.jpg, 392611945.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Active samples,OD,5 mm,ID,3.4 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),500,Qty/pk,5,Similar to,"03-918464-00, 8004-0160, 8004-0108, 20859, 20901, 20909"
392611945-25,392611945-25,03-918464-00,,,,,,,,,03-918464-00,"Open 3.4mm ID GC Inlet Liner, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,Active samples,GC Inlet Liners,5 mm,3.4 mm,54 mm,Varian 1078/1079,Varian/Bruker,500,25,$550.00,"392611945_sm.jpg, 392611945.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Active samples,OD,5 mm,ID,3.4 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),500,Qty/pk,25,Similar to,03-918464-00
392611946,392611946,03-918464-01,,8004-0159,,"21708, 21709",,,,,"03-918464-01, 8004-0159, 21708, 21709","3.4mm ID GC Inlet Liner w/Frit, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,"Dirty samples, non-active compounds",GC Inlet Liners,5 mm,3.4 mm,54 mm,Varian 1078/1079,Varian/Bruker,500,5,$155.00,"392611946_sm.jpg, 392611946.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Dirty samples, non-active compounds",OD,5 mm,ID,3.4 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),500,Qty/pk,5,Similar to,"03-918464-01, 8004-0159, 21708, 21709"
392611946-25,392611946-25,03-918464-01,,,,,,,,,03-918464-01,"3.4mm ID GC Inlet Liner w/Frit, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,"Dirty samples, non-active compounds",GC Inlet Liners,5 mm,3.4 mm,54 mm,Varian 1078/1079,Varian/Bruker,500,25,$750.00,"392611946_sm.jpg, 392611946.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Dirty samples, non-active compounds",OD,5 mm,ID,3.4 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),500,Qty/pk,25,Similar to,03-918464-01
392611947,392611947,03-918466-00,,"8004-0109, 8004-0161",,"21711, 21712",,,,,"03-918466-00, 8004-0109, 8004-0161 , 21711, 21712","Open 2mm ID GC Inlet Liner, 1078/1079, Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,5 mm,2 mm,54 mm,Varian 1078/1079,Varian/Bruker,170,5,$120.00,"392611947_sm.jpg, 392611947.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,5 mm,ID,2 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),170,Qty/pk,5,Similar to,"03-918466-00, 8004-0109, 8004-0161 , 21711, 21712"
392611947-25,392611947-25,03-918466-00,,,,,,,,,03-918466-00,"Open 2mm ID GC Inlet Liner, 1078/1079, Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,5 mm,2 mm,54 mm,Varian 1078/1079,Varian/Bruker,170,25,$575.00,"392611947_sm.jpg, 392611947.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,5 mm,ID,2 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),170,Qty/pk,25,Similar to,03-918466-00
392611948,392611948,03-925330-00,,8004-0176,,"21714, 21715, 21716",,,,,"03-925330-00, 8004-0176, 21714, 21715, 21716","SPME 0.8mm ID GC Inlet Liner, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,"Trace, low volume samples",GC Inlet Liners,5 mm,.8 mm,54 mm,Varian 1078/1079,Varian/Bruker,30,5,$105.00,"392611948_sm.jpg, 392611948.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Trace, low volume samples",OD,5 mm,ID,.8 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),30,Qty/pk,5,Similar to,"03-925330-00, 8004-0176, 21714, 21715, 21716"
392611948-25,392611948-25,,,,,,,,,,,"SPME 0.8mm ID GC Inlet Liner, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,"Trace, low volume samples",GC Inlet Liners,5 mm,.8 mm,54 mm,Varian 1078/1079,Varian/Bruker,30,25,$500.00,"392611948_sm.jpg, 392611948.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Trace, low volume samples",OD,5 mm,ID,.8 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),30,Qty/pk,25,Similar to,
392611949,392611949,03-925331-00,,,,"20992, 20993",,,,,"03-925331-00, 20992, 20993","Open 0.5mm ID GC Inlet Liner, 1078/1079, Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,Trace samples <1μL,GC Inlet Liners,5 mm,.5 mm,54 mm,Varian 1078/1079,Varian/Bruker,10,5,$105.00,"392611949_sm.jpg, 392611949.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <1μL,OD,5 mm,ID,.5 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),10,Qty/pk,5,Similar to,"03-925331-00, 20992, 20993"
392611949-25,392611949-25,03-925331-00,,,,,,,,,03-925331-00,"Open 0.5mm ID GC Inlet Liner, 1078/1079, Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,Trace samples <1μL,GC Inlet Liners,5 mm,.5 mm,54 mm,Varian 1078/1079,Varian/Bruker,10,25,$500.00,"392611949_sm.jpg, 392611949.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <1μL,OD,5 mm,ID,.5 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),10,Qty/pk,25,Similar to,03-925331-00
392611950,392611950,03-918332-03,,,,,,,,,03-918332-03,"SPI Glass Insert, Packed Glass Wool (0.8mmID) Injector Vo","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Consistent dimensions, tolerances and quality
• Each Liner is deactivated to assure a clean, inert glass surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,4.6 mm,.8 mm,54 mm,Varian 1093/1094,Varian/Bruker,30,5,$145.00,"392611950_sm.jpg, 392611950.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,4.6 mm,ID,.8 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),30,Qty/pk,5,Similar to,03-918332-03
392611950-25,392611950-25,03-918332-03,,,,,,,,,03-918332-03,"SPI Glass Insert, Packed Glass Wool (0.8mmID) Injector Vo","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Consistent dimensions, tolerances and quality
• Each Liner is deactivated to assure a clean, inert glass surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,4.6 mm,.8 mm,54 mm,Varian 1093/1094,Varian/Bruker,30,25,$700.00,"392611950_sm.jpg, 392611950.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,4.6 mm,ID,.8 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),30,Qty/pk,25,Similar to,03-918332-03
392611951,392611951,03-917310-00,,,,,,,,,03-917310-00,Temp Program Injector Glass Column Guide (3400/3500/3600),"• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Made with a Consistent, High Quality Proprietary Deactivation Process
• In-house manufacturing that meets/exceeds instrument manufacturer‘s specs
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,4.6 mm,.8 mm,64 mm,Varian 1095/1096/1097/1098,Varian/Bruker,35,5,$150.00,"392611951_sm.jpg, 392611951.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,4.6 mm,ID,.8 mm,Length,64 mm,Fits Injector Port,Varian 1095/1096/1097/1098,Fits GC Model,Varian/Bruker,Volume (μL),35,Qty/pk,5,Similar to,03-917310-00
392611951-25,392611951-25,03-917310-00,,,,,,,,,03-917310-00,Temp Program Injector Glass Column Guide (3400/3500/3600),"• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Made with a Consistent, High Quality Proprietary Deactivation Process
• In-house manufacturing that meets/exceeds instrument manufacturer‘s specs
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,4.6 mm,.8 mm,64 mm,Varian 1095/1096/1097/1098,Varian/Bruker,35,25,$725.00,"392611951_sm.jpg, 392611951.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,4.6 mm,ID,.8 mm,Length,64 mm,Fits Injector Port,Varian 1095/1096/1097/1098,Fits GC Model,Varian/Bruker,Volume (μL),35,Qty/pk,25,Similar to,03-917310-00
392611952,392611952,03-908701-00,,,,,,,,,03-908701-00,Temp Program Injector Glass Column Guide (3700/6000),"• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Made with a Consistent, High Quality Proprietary Deactivation Process
• In-house manufacturing that meets/exceeds instrument manufacturer‘s specs
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,4.6 mm,.8 mm,18 mm,Varian 1095/1096/1097/1098,Varian/Bruker,8,5,$145.00,"392611952_sm.jpg, 392611952.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,4.6 mm,ID,.8 mm,Length,18 mm,Fits Injector Port,Varian 1095/1096/1097/1098,Fits GC Model,Varian/Bruker,Volume (μL),8,Qty/pk,5,Similar to,03-908701-00
392611952-25,392611952-25,03-908701-00,,,,,,,,,03-908701-00,Temp Program Injector Glass Column Guide (3700/6000),"• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Made with a Consistent, High Quality Proprietary Deactivation Process
• In-house manufacturing that meets/exceeds instrument manufacturer‘s specs
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,4.6 mm,.8 mm,18 mm,Varian 1095/1096/1097/1098,Varian/Bruker,8,25,$700.00,"392611952_sm.jpg, 392611952.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,4.6 mm,ID,.8 mm,Length,18 mm,Fits Injector Port,Varian 1095/1096/1097/1098,Fits GC Model,Varian/Bruker,Volume (μL),8,Qty/pk,25,Similar to,03-908701-00
392611953,392611953,03-925350-00,,8004-0118,,,,,,,"03-925350-00, 8004-0118","2mm ID GC Inlet Liner w/Glass Wool, 1078/1079 Split/Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,5 mm,2 mm,54 mm,Varian 1078/1079,Varian/Bruker,170,5,$115.00,"392611953_sm.jpg, 392611953.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,5 mm,ID,2 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),170,Qty/pk,5,Similar to,"03-925350-00, 8004-0118"
392611953-25,392611953-25,03-925350-00,,8004-0118,,,,,,,"03-925350-00, 8004-0118","2mm ID GC Inlet Liner w/Glass Wool, 1078/1079 Split/Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,5 mm,2 mm,54 mm,Varian 1078/1079,Varian/Bruker,170,25,$550.00,"392611953_sm.jpg, 392611953.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,5 mm,ID,2 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),170,Qty/pk,25,Similar to,"03-925350-00, 8004-0118"
392611954,392611954,03-918956-00,,,,,,,,,03-918956-00,"GC Inlet Liner Packed w/10% OV-101 on Chromosorb W-HP 80/100, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,5 mm,3.4 mm,54 mm,Varian 1078/1079,Varian/Bruker,500,5,$150.00,"392611954_sm.jpg, 392611954.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,5 mm,ID,3.4 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),500,Qty/pk,5,Similar to,03-918956-00
392611954-25,392611954-25,03-918956-00,,,,,,,,,03-918956-00,"GC Inlet Liner Packed w/10% OV-101 on Chromosorb W-HP 80/100, 1078/1079, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,,GC Inlet Liners,5 mm,3.4 mm,54 mm,Varian 1078/1079,Varian/Bruker,500,25,$725.00,"392611954_sm.jpg, 392611954.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,5 mm,ID,3.4 mm,Length,54 mm,Fits Injector Port,Varian 1078/1079,Fits GC Model,Varian/Bruker,Volume (μL),500,Qty/pk,25,Similar to,03-918956-00